EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
693890,Shooting Permit,02/03/2023 11:30:00 AM,02/04/2023 01:30:00 AM,01/31/2023 06:41:13 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   16 STREET between 8 AVENUE and 9 AVENUE,  WEST   16 STREET between 9 AVENUE and 10 AVENUE,  WEST   17 STREET between 9 AVENUE and 10 AVENUE,  9 AVENUE between WEST   17 STREET and WEST   18 STREET",Manhattan,4,10,Television,Episodic series,United States of America,10011
693881,Shooting Permit,02/06/2023 07:00:00 AM,02/06/2023 07:00:00 PM,01/31/2023 05:31:39 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAST   63 STREET between FIFTH AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   63 STREET and EAST   62 STREET",Manhattan,"64, 8","19, 22",WEB,Not Applicable,United States of America,"10021, 10065"
693875,Shooting Permit,02/06/2023 06:00:00 AM,02/06/2023 10:00:00 PM,01/31/2023 04:54:05 PM,"Mayor's Office of Film, Theatre & Broadcasting",31 STREET between 47 AVENUE and 48 AVENUE,Queens,2,108,Television,Episodic series,United States of America,11101
693870,Shooting Permit,02/07/2023 07:00:00 AM,02/07/2023 11:59:00 PM,01/31/2023 04:39:34 PM,"Mayor's Office of Film, Theatre & Broadcasting","22 STREET between 43 AVENUE and QUEENS PLAZA SOUTH,  43 AVENUE between 22 STREET and 21 STREET,  21 STREET between 43 AVENUE and QUEENS PLAZA SOUTH,  QUEENS PLAZA SOUTH between 21 STREET and 22 STREET,  EAST   32 STREET between 3 AVENUE and 2 AVENUE,  3 AVENUE between EAST   32 STREET and EAST   31 STREET,  EAST   31 STREET between 2 AVENUE and 3 AVENUE",Queens,"2, 6","108, 17",Television,Episodic series,United States of America,"10016, 11101"
693831,Shooting Permit,02/07/2023 07:00:00 AM,02/07/2023 11:00:00 PM,01/31/2023 02:42:38 PM,"Mayor's Office of Film, Theatre & Broadcasting","CALYER STREET between DIAMOND STREET and JEWEL STREET,  RUSSELL STREET between GREENPOINT AVENUE and CALYER STREET,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE",Brooklyn,1,94,Television,Episodic series,United States of America,11222
693827,Shooting Permit,02/03/2023 07:00:00 AM,02/03/2023 09:00:00 PM,01/31/2023 02:36:54 PM,"Mayor's Office of Film, Theatre & Broadcasting","KENT AVENUE between NORTH    4 PLACE and NORTH    6 STREET,  WYTHE AVENUE between NORTH    3 STREET and NORTH    5 STREET,  NORTH    4 STREET between KENT AVENUE and WYTHE AVENUE,  NORTH    4 STREET between WYTHE AVENUE and BERRY STREET,  NORTH    5 STREET between KENT AVENUE and WYTHE AVENUE,  NORTH    5 STREET between KENT AVENUE and NORTH    4 PLACE,  NORTH    6 STREET between KENT AVENUE and WYTHE AVENUE",Brooklyn,1,94,Television,Episodic series,United States of America,11249
693823,Shooting Permit,02/06/2023 07:00:00 AM,02/06/2023 11:00:00 PM,01/31/2023 02:25:10 PM,"Mayor's Office of Film, Theatre & Broadcasting","MESEROLE AVENUE between NEWEL STREET and DIAMOND STREET,  DIAMOND STREET between CALYER STREET and MESEROLE AVENUE,  CALYER STREET between DIAMOND STREET and JEWEL STREET,  CALYER STREET between JEWEL STREET and MOULTRIE STREET,  MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE",Brooklyn,1,94,Television,Episodic series,United States of America,11222
693818,Shooting Permit,02/02/2023 07:00:00 AM,02/02/2023 10:00:00 PM,01/31/2023 02:08:20 PM,"Mayor's Office of Film, Theatre & Broadcasting","LINCOLN PLACE between CLASSON AVENUE and WASHINGTON AVENUE,  CLASSON AVENUE between LINCOLN PLACE and ST JOHNS PLACE,  WASHINGTON AVENUE between LINCOLN PLACE and ST JOHNS PLACE,  WASHINGTON AVENUE between LINCOLN PLACE and EASTERN PARKWAY,  LINCOLN PLACE between WASHINGTON AVENUE and UNDERHILL AVENUE,  UNDERHILL AVENUE between LINCOLN PLACE and ST JOHNS PLACE,  WASHINGTON AVENUE between LINCOLN PLACE and ST JOHNS PLACE,  UNDERHILL AVENUE between LINCOLN PLACE and EASTERN PARKWAY",Brooklyn,8,77,Television,Episodic series,United States of America,11238
693796,Shooting Permit,02/03/2023 06:00:00 AM,02/03/2023 10:00:00 PM,01/31/2023 12:56:41 PM,"Mayor's Office of Film, Theatre & Broadcasting",31 STREET between 47 AVENUE and 48 AVENUE,Queens,2,108,Television,Episodic series,United States of America,11101
693792,Theater Load in and Load Outs,02/15/2023 12:01:00 AM,02/15/2023 11:59:00 PM,01/31/2023 12:45:27 PM,"Mayor's Office of Film, Theatre & Broadcasting",7 AVENUE between WEST   56 STREET and WEST   57 STREET,Manhattan,5,18,Theater,Theater,United States of America,"10019, 10106"
